"maternalAge" "scenario" "rep1" "rep10" "rep2" "rep3" "rep4" "rep5" "rep6" "rep7" "rep8" "rep9" "mean" "min" "max"
"238" 1 "nullQualityResource" 4031 4027 4000 3961 3987 4043 4029 4086 4054 4000 4021.8 3961 4086
"239" 2 "nullQualityResource" 3267 3259 3220 3174 3221 3245 3277 3282 3314 3271 3253 3174 3314
"240" 3 "nullQualityResource" 2643 2619 2593 2539 2596 2592 2650 2663 2667 2632 2619.4 2539 2667
"241" 4 "nullQualityResource" 2109 2098 2085 2048 2107 2096 2138 2115 2151 2100 2104.7 2048 2151
"242" 5 "nullQualityResource" 1694 1692 1671 1623 1653 1607 1696 1655 1728 1669 1668.8 1607 1728
"243" 6 "nullQualityResource" 1335 1332 1313 1275 1284 1217 1330 1310 1349 1340 1308.5 1217 1349
"244" 7 "nullQualityResource" 1017 1009 977 958 993 913 993 995 1030 998 988.3 913 1030
"245" 8 "nullQualityResource" 717 689 685 663 707 646 682 728 724 719 696 646 728
"246" 9 "nullQualityResource" 382 360 343 256 395 396 407 416 428 404 378.7 256 428
"247" 10 "nullQualityResource" 36 0 0 1 0 39 60 56 45 0 23.7 0 60
"248" 0 "nullResource" 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000
"249" 1 "nullResource" 4191 4188 4247 4177 4253 4171 4198 4174 4134 4188 4192.1 4134 4253
"250" 2 "nullResource" 3457 3468 3543 3523 3567 3429 3514 3484 3394 3470 3484.9 3394 3567
"251" 3 "nullResource" 2831 2892 2964 2955 2953 2892 2861 2879 2816 2896 2893.9 2816 2964
"252" 4 "nullResource" 2298 2424 2446 2468 2434 2380 2346 2333 2331 2381 2384.1 2298 2468
"253" 5 "nullResource" 1843 1961 1993 1994 1960 1907 1884 1882 1844 1901 1916.9 1843 1994
"254" 6 "nullResource" 1456 1557 1590 1592 1522 1490 1466 1513 1467 1522 1517.5 1456 1592
"255" 7 "nullResource" 1109 1153 1174 1207 1146 1135 1101 1161 1139 1151 1147.6 1101 1207
"256" 8 "nullResource" 684 773 844 852 810 741 777 797 822 774 787.4 684 852
"257" 9 "nullResource" 219 104 250 338 306 228 320 295 475 261 279.6 104 475
"258" 10 "nullResource" 0 0 2 0 0 0 0 0 54 0 5.6 0 54
"259" 0 "quality" 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000
"260" 1 "quality" 2392 2525 2500 2533 2410 2367 2353 2489 2420 2444 2443.3 2353 2533
"261" 2 "quality" 1725 1819 1793 1863 1723 1676 1682 1770 1712 1742 1750.5 1676 1863
"262" 3 "quality" 1382 1421 1431 1476 1372 1337 1327 1408 1325 1413 1389.2 1325 1476
"263" 4 "quality" 1200 1223 1237 1277 1193 1162 1152 1220 1137 1193 1199.4 1137 1277
"264" 5 "quality" 1109 1090 1111 1157 1079 1063 1020 1113 1012 1083 1083.7 1012 1157
"265" 6 "quality" 1057 1016 1030 1074 1006 1006 949 1040 940 1010 1012.8 940 1074
"266" 7 "quality" 1001 955 961 1008 936 959 900 983 894 955 955.2 894 1008
"267" 8 "quality" 956 905 920 947 884 912 867 934 855 919 909.9 855 956
"268" 9 "quality" 912 857 887 901 852 881 838 904 818 884 873.4 818 912
"269" 10 "quality" 879 815 853 862 825 850 802 870 805 856 841.7 802 879
"270" 11 "quality" 848 791 817 822 805 834 777 837 791 832 815.4 777 848
"271" 12 "quality" 821 760 784 800 779 813 754 801 773 816 790.1 754 821
"272" 13 "quality" 788 734 755 760 765 787 728 779 757 799 765.2 728 799
"273" 14 "quality" 763 706 729 738 746 775 707 743 728 770 740.5 706 775
"274" 15 "quality" 737 681 710 715 726 753 692 722 714 762 721.2 681 762
"275" 16 "quality" 713 659 688 696 712 736 678 698 699 732 701.1 659 736
"276" 17 "quality" 694 639 661 674 693 717 663 684 683 714 682.2 639 717
"277" 18 "quality" 683 624 648 659 677 696 649 664 673 703 667.6 624 703
"278" 19 "quality" 670 605 627 647 663 683 637 650 652 680 651.4 605 683
"279" 20 "quality" 658 593 607 627 646 661 619 629 642 665 634.7 593 665
"280" 21 "quality" 645 577 592 604 631 651 607 607 628 652 619.4 577 652
"281" 22 "quality" 634 560 573 581 623 641 589 598 613 641 605.3 560 641
"282" 23 "quality" 620 545 557 566 611 627 573 582 604 624 590.9 545 627
"283" 24 "quality" 604 534 550 552 598 613 566 565 595 603 578 534 613
"284" 25 "quality" 595 519 535 539 582 594 549 550 577 593 563.3 519 595
"285" 26 "quality" 580 509 518 527 567 585 528 535 568 581 549.8 509 585
"286" 27 "quality" 568 495 505 516 558 570 514 523 560 573 538.2 495 573
"287" 28 "quality" 556 482 492 501 547 555 507 510 545 562 525.7 482 562
"288" 29 "quality" 548 473 479 493 536 546 492 501 535 550 515.3 473 550
"289" 30 "quality" 538 462 463 482 526 529 484 490 523 540 503.7 462 540
"290" 31 "quality" 532 450 454 474 518 517 475 482 515 529 494.6 450 532
"291" 32 "quality" 522 438 445 464 506 504 470 468 505 517 483.9 438 522
"292" 33 "quality" 512 426 437 448 498 493 461 459 494 509 473.7 426 512
"293" 34 "quality" 505 415 429 437 485 489 455 453 484 495 464.7 415 505
"294" 35 "quality" 497 406 417 424 472 486 444 444 478 480 454.8 406 497
"295" 36 "quality" 493 398 410 416 461 479 436 439 471 470 447.3 398 493
