"ID" "ageAtDeath" "maternalAge" "paternalAge" "mutProb" "na"
"4279" ".0013771" 3 0 0 ".001" 9
"4280" ".0013771" 6 1 1 ".001" 9
"4281" ".0013771" 3 2 2 ".001" 9
"4282" ".0013771" 1 3 3 ".001" 9
"4283" ".0013771" 9 4 4 ".001" 9
"4284" ".0013771" 4 5 5 ".001" 9
"4285" ".0013771" 0 6 6 ".001" 9
"4286" ".0013771" 5 7 7 ".001" 9
"4287" ".0013771" 6 8 8 ".001" 9
"4288" ".0013772" 1 0 0 ".001" 9
"4289" ".0013772" 2 1 1 ".001" 9
"4290" ".0013772" 3 2 2 ".001" 9
"4291" ".0013772" 2 3 3 ".001" 9
"4292" ".0013772" 7 4 4 ".001" 9
"4293" ".0013772" 1 5 5 ".001" 9
"4294" ".0013772" 7 6 6 ".001" 9
"4295" ".0013772" 33 7 7 ".001" 9
"4296" ".0013772" 8 8 8 ".001" 9
"4306" ".0013774" 2 0 0 ".001" 9
"4307" ".0013774" 2 1 1 ".001" 9
"4308" ".0013774" 2 2 2 ".001" 9
"4309" ".0013774" 1 3 3 ".001" 9
"4310" ".0013774" 4 4 4 ".001" 9
"4311" ".0013774" 5 5 5 ".001" 9
"4312" ".0013774" 3 6 6 ".001" 9
"4313" ".0013774" 2 7 7 ".001" 9
"4314" ".0013774" 1 8 8 ".001" 9
"4369" ".0013781" 5 0 0 ".001" 9
"4370" ".0013781" 4 1 1 ".001" 9
"4371" ".0013781" 9 2 2 ".001" 9
"4372" ".0013781" 20 3 3 ".001" 9
"4373" ".0013781" 2 4 4 ".001" 9
"4374" ".0013781" 10 5 5 ".001" 9
"4375" ".0013781" 18 6 6 ".001" 9
"4376" ".0013781" 2 7 7 ".001" 9
"4377" ".0013781" 11 8 8 ".001" 9
"4396" ".0013784" 2 0 0 ".001" 9
"4397" ".0013784" 12 1 1 ".001" 9
"4398" ".0013784" 2 2 2 ".001" 9
"4399" ".0013784" 3 3 3 ".001" 9
"4400" ".0013784" 0 4 4 ".001" 9
"4401" ".0013784" 4 5 5 ".001" 9
"4402" ".0013784" 4 6 6 ".001" 9
"4403" ".0013784" 24 7 7 ".001" 9
"4404" ".0013784" 4 8 8 ".001" 9
"4540" ".0013800" 2 0 0 ".001" 9
"4541" ".0013800" 24 1 1 ".001" 9
"4542" ".0013800" 0 2 2 ".001" 9
"4543" ".0013800" 3 3 3 ".001" 9
"4544" ".0013800" 0 4 4 ".001" 9
"4545" ".0013800" 3 5 5 ".001" 9
"4546" ".0013800" 10 6 6 ".001" 9
"4547" ".0013800" 2 7 7 ".001" 9
"4548" ".0013800" 10 8 8 ".001" 9
"4603" ".0013807" 5 0 0 ".001" 9
"4604" ".0013807" 0 1 1 ".001" 9
"4605" ".0013807" 10 2 2 ".001" 9
"4606" ".0013807" 13 3 3 ".001" 9
"4607" ".0013807" 0 4 4 ".001" 9
"4608" ".0013807" 14 5 5 ".001" 9
"4609" ".0013807" 3 6 6 ".001" 9
"4610" ".0013807" 0 7 7 ".001" 9
"4611" ".0013807" 7 8 8 ".001" 9
"4648" ".0013812" 6 0 0 ".001" 9
"4649" ".0013812" 2 1 1 ".001" 9
"4650" ".0013812" 7 2 2 ".001" 9
"4651" ".0013812" 4 3 3 ".001" 9
"4652" ".0013812" 26 4 4 ".001" 9
"4653" ".0013812" 1 5 5 ".001" 9
"4654" ".0013812" 11 6 6 ".001" 9
